epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6616,1.66804,2.34959,1.4232,0.53399,0.09468,0.04642,0.03186,1.4616,8.57176,1.40295,0.0003,0.0003,0.0003
2,83.9562,1.34669,1.21602,1.17616,0.02545,0.37447,0.02256,0.01291,1.40449,inf,1.52772,0.000609468,0.000609468,0.000609468
3,118.152,1.34641,1.1169,1.19468,0.55547,0.36341,0.3312,0.19656,1.36893,7.64867,1.38618,0.000915842,0.000915842,0.000915842
4,145.265,1.41395,1.15373,1.21206,0.02608,0.13047,0.02015,0.01027,1.82928,7.72978,2.15377,0.00121912,0.00121912,0.00121912
5,174.098,1.38819,1.10876,1.20611,0.25853,0.26315,0.25827,0.17312,2.28297,44.1419,4.51484,0.00122525,0.00122525,0.00122525
6,328.803,1.36256,1.13131,1.2045,0.62721,0.14933,0.1255,0.06859,nan,nan,nan,0.00121906,0.00121906,0.00121906
7,356.162,1.3609,1.13073,1.19645,0.51435,0.3106,0.30247,0.18815,1.59981,2.76223,1.52319,0.00121287,0.00121287,0.00121287
8,379.004,1.30496,1.04974,1.16454,0.48717,0.58072,0.56295,0.28955,1.34403,1.16276,1.28572,0.00120669,0.00120669,0.00120669
9,394.12,1.32147,1.03006,1.17337,0.25297,0.55314,0.47896,0.35013,1.33085,1.48389,1.27127,0.0012005,0.0012005,0.0012005
10,411.867,1.31762,1.0199,1.15758,0.27085,0.57332,0.32851,0.20651,1.26818,1.19307,1.19317,0.00119431,0.00119431,0.00119431
11,428.991,1.25873,0.99668,1.14084,0.61828,0.56717,0.53587,0.38683,1.23875,1.14126,1.18761,0.00118812,0.00118812,0.00118812
12,443.857,1.25835,1.00464,1.13357,0.57042,0.54126,0.50672,0.25971,1.29833,1.05936,1.22097,0.00118194,0.00118194,0.00118194
13,458.191,1.28008,0.98137,1.16006,0.70769,0.33072,0.39825,0.23883,1.28681,1.46769,1.2463,0.00117575,0.00117575,0.00117575
14,477.945,1.27112,0.97604,1.15466,0.65994,0.51302,0.52252,0.35,1.21044,1.05338,1.17571,0.00116956,0.00116956,0.00116956
15,502.989,1.26457,0.97755,1.1381,0.33099,0.50729,0.44401,0.22749,1.36906,1.27718,1.25303,0.00116337,0.00116337,0.00116337
16,517.656,1.22957,0.96446,1.13613,0.8229,0.56958,0.6889,0.39728,1.2606,1.13125,1.21387,0.00115719,0.00115719,0.00115719
17,534.381,1.22625,0.94291,1.13727,0.73603,0.49859,0.51657,0.34554,1.21888,1.00583,1.17302,0.001151,0.001151,0.001151
18,551.59,1.21947,0.93955,1.1249,0.55712,0.5398,0.59604,0.37829,1.24197,1.01795,1.19812,0.00114481,0.00114481,0.00114481
19,569.261,1.22751,0.97696,1.13092,0.40417,0.55331,0.56216,0.35817,1.19666,0.9789,1.15686,0.00113863,0.00113863,0.00113863
20,588.404,1.19855,0.92782,1.1084,0.67269,0.3899,0.51104,0.3652,1.16925,1.10377,1.15423,0.00113244,0.00113244,0.00113244
21,604.468,1.20003,0.909,1.1143,0.8784,0.50955,0.67737,0.44972,1.21706,1.04317,1.17223,0.00112625,0.00112625,0.00112625
22,640.08,1.23136,0.94169,1.1267,0.703,0.49506,0.57064,0.35839,1.2121,1.00673,1.16739,0.00112006,0.00112006,0.00112006
23,680.136,1.19893,0.91087,1.11611,0.70373,0.52695,0.61333,0.44553,1.1743,0.97201,1.16464,0.00111388,0.00111388,0.00111388
24,708.241,1.18882,0.90686,1.11465,0.904,0.62324,0.74462,0.4518,1.16554,0.93078,1.15392,0.00110769,0.00110769,0.00110769
25,727.595,1.15589,0.86999,1.09183,0.79729,0.47623,0.53343,0.36715,1.22607,1.18387,1.187,0.0011015,0.0011015,0.0011015
26,747.468,1.13392,0.86628,1.07744,0.69972,0.48923,0.68002,0.44694,1.15763,1.05357,1.16038,0.00109531,0.00109531,0.00109531
27,766.108,1.13429,0.86934,1.08827,0.53243,0.59802,0.62052,0.41046,1.1635,0.98746,1.16902,0.00108913,0.00108913,0.00108913
28,782.625,1.14514,0.85776,1.08774,0.5625,0.59572,0.5496,0.38658,1.16323,1.04784,1.16396,0.00108294,0.00108294,0.00108294
29,798.904,1.15221,0.89515,1.08279,0.61399,0.68265,0.64794,0.42647,1.18542,1.00457,1.16507,0.00107675,0.00107675,0.00107675
30,815.613,1.18074,0.87267,1.09056,0.84486,0.65823,0.63512,0.43168,1.19407,1.03371,1.16971,0.00107056,0.00107056,0.00107056
31,832.461,1.16219,0.87048,1.09112,0.86427,0.5116,0.61841,0.44761,1.20887,1.07143,1.17789,0.00106437,0.00106437,0.00106437
32,849.126,1.13888,0.85801,1.08941,0.64225,0.6681,0.6399,0.42238,1.18204,1.08534,1.16376,0.00105819,0.00105819,0.00105819
33,865.49,1.13262,0.86708,1.09073,0.79825,0.6385,0.69444,0.48687,1.13336,0.95913,1.14612,0.001052,0.001052,0.001052
34,882.634,1.11779,0.84363,1.07831,0.67906,0.68815,0.68856,0.48044,1.11322,0.92268,1.12679,0.00104581,0.00104581,0.00104581
35,899.614,1.10255,0.81734,1.07997,0.87312,0.52028,0.67169,0.42731,1.13495,0.93531,1.1412,0.00103962,0.00103962,0.00103962
36,915.134,1.13943,0.85292,1.09026,0.80163,0.49118,0.64283,0.43762,1.16081,1.01079,1.15593,0.00103344,0.00103344,0.00103344
37,931.201,1.10765,0.8169,1.0735,0.86675,0.46303,0.62549,0.46541,1.17017,1.03263,1.1495,0.00102725,0.00102725,0.00102725
38,948.048,1.09398,0.79735,1.05385,0.39344,0.68996,0.53665,0.38757,1.21084,1.01626,1.17865,0.00102106,0.00102106,0.00102106
39,964.937,1.12277,0.83142,1.0661,0.80099,0.58232,0.74409,0.57109,1.18137,0.96568,1.15101,0.00101488,0.00101488,0.00101488
40,983.076,1.1134,0.83019,1.07168,0.76438,0.60891,0.69042,0.51187,1.12171,0.96623,1.14097,0.00100869,0.00100869,0.00100869
41,1000.48,1.10601,0.8157,1.06243,0.54201,0.73723,0.67907,0.45992,1.14919,0.89275,1.16207,0.0010025,0.0010025,0.0010025
42,1015.26,1.09404,0.81627,1.07057,0.84469,0.61227,0.68016,0.46308,1.14781,0.89379,1.1526,0.000996313,0.000996313,0.000996313
43,1033.04,1.07775,0.80016,1.05369,0.43127,0.73997,0.56831,0.4024,1.10983,1.02474,1.12471,0.000990125,0.000990125,0.000990125
44,1051.17,1.08341,0.78152,1.06116,0.84427,0.55126,0.77751,0.55177,1.14087,0.90069,1.17687,0.000983938,0.000983938,0.000983938
45,1069.04,1.07627,0.77147,1.0489,0.69861,0.67559,0.77439,0.5443,1.09418,0.90051,1.11764,0.00097775,0.00097775,0.00097775
46,1086.8,1.0907,0.77618,1.04533,0.90081,0.63135,0.77052,0.58969,1.14652,0.8843,1.1359,0.000971562,0.000971562,0.000971562
47,1105.6,1.09294,0.77988,1.05455,0.65441,0.66398,0.69072,0.45039,1.13075,0.95861,1.13026,0.000965375,0.000965375,0.000965375
48,1123.48,1.08763,0.77211,1.05759,0.49189,0.80867,0.7078,0.47363,1.11646,0.90817,1.13766,0.000959187,0.000959187,0.000959187
49,1140.43,1.06508,0.74492,1.05065,0.88397,0.59598,0.7326,0.5564,1.15326,0.95182,1.16672,0.000953,0.000953,0.000953
50,1157.42,1.10295,0.77839,1.05635,0.57186,0.58458,0.62053,0.43314,1.17729,0.94325,1.15857,0.000946812,0.000946812,0.000946812
51,1174.03,1.09438,0.78636,1.06674,0.69831,0.67951,0.7715,0.55885,1.14341,0.90176,1.1502,0.000940625,0.000940625,0.000940625
52,1191.36,1.05182,0.75446,1.036,0.8402,0.63883,0.76886,0.59137,1.12748,0.93417,1.12992,0.000934438,0.000934438,0.000934438
53,1206.26,1.07302,0.77264,1.0564,0.95367,0.63047,0.72711,0.51069,1.12559,0.96474,1.14392,0.00092825,0.00092825,0.00092825
54,1223.17,1.06215,0.75506,1.04451,0.94444,0.59258,0.76885,0.57202,1.11283,0.88294,1.14117,0.000922063,0.000922063,0.000922063
55,1239.95,1.02727,0.72354,1.02899,0.55545,0.77859,0.74944,0.53841,1.13062,0.90089,1.14859,0.000915875,0.000915875,0.000915875
56,1257.03,1.06515,0.75583,1.04725,0.86211,0.61437,0.68106,0.47148,1.10837,0.88791,1.1281,0.000909688,0.000909688,0.000909688
57,1274.18,1.08449,0.75931,1.04699,0.60217,0.51877,0.57031,0.42923,1.16912,0.97465,1.15279,0.0009035,0.0009035,0.0009035
58,1290.94,1.05134,0.73908,1.04202,0.74188,0.62814,0.68199,0.4886,1.12554,0.93083,1.14281,0.000897313,0.000897313,0.000897313
59,1307.64,1.03428,0.70864,1.03531,0.64353,0.73057,0.69325,0.50643,1.12409,0.90227,1.14067,0.000891125,0.000891125,0.000891125
60,1324.87,1.02971,0.70825,1.03421,0.72859,0.6418,0.77364,0.55278,1.13627,0.93047,1.14608,0.000884938,0.000884938,0.000884938
61,1340.47,1.04634,0.72116,1.04197,0.5516,0.75138,0.59851,0.38219,1.13649,0.97192,1.14913,0.00087875,0.00087875,0.00087875
62,1381.27,1.026,0.7258,1.04637,0.73979,0.62334,0.62557,0.42927,1.12745,0.91105,1.14317,0.000872563,0.000872563,0.000872563
63,1413.03,1.037,0.72116,1.04294,0.60678,0.78179,0.73964,0.5262,1.13601,0.91785,1.15049,0.000866375,0.000866375,0.000866375
64,1430.34,0.98915,0.68982,1.02465,0.85295,0.65039,0.78586,0.55524,1.14412,0.88322,1.15162,0.000860188,0.000860188,0.000860188
65,1447.63,1.02613,0.67863,1.01947,0.54913,0.74617,0.68215,0.50318,1.12304,0.90326,1.15639,0.000854,0.000854,0.000854
66,1464.91,0.99364,0.69095,1.03973,0.88969,0.59933,0.75378,0.56938,1.11693,0.94659,1.13224,0.000847813,0.000847813,0.000847813
67,1482.17,1.01672,0.68667,1.03601,0.8069,0.6863,0.73185,0.50843,1.10632,0.87742,1.12886,0.000841625,0.000841625,0.000841625
68,1499.54,1.01399,0.68807,1.01978,0.90651,0.64422,0.75091,0.5106,1.12782,0.92009,1.14538,0.000835438,0.000835438,0.000835438
69,1514.04,1.01667,0.69221,1.03447,0.50337,0.71724,0.73685,0.52153,1.10262,0.89838,1.14115,0.00082925,0.00082925,0.00082925
70,1530.85,1.00983,0.68528,1.02792,0.73212,0.68888,0.7688,0.566,1.1376,0.92161,1.17621,0.000823063,0.000823063,0.000823063
71,1548.17,1.01421,0.68019,1.01213,0.8187,0.63515,0.76467,0.54801,1.15758,0.86182,1.19952,0.000816875,0.000816875,0.000816875
72,1564.86,0.99243,0.66449,1.02035,0.69204,0.74867,0.78338,0.57152,1.12109,0.84607,1.16619,0.000810688,0.000810688,0.000810688
73,1581.5,0.99424,0.67172,1.02579,0.71957,0.68358,0.77541,0.56344,1.10579,0.91893,1.1521,0.0008045,0.0008045,0.0008045
74,1598.08,0.98331,0.65332,1.01811,0.88913,0.70439,0.76796,0.53843,1.10468,0.90791,1.1438,0.000798313,0.000798313,0.000798313
75,1614.62,0.98684,0.66689,1.01038,0.72513,0.72959,0.77001,0.55381,1.11823,0.88406,1.15632,0.000792125,0.000792125,0.000792125
76,1631.71,0.96904,0.63152,1.01389,0.67153,0.69594,0.70793,0.53796,1.13232,0.8905,1.17035,0.000785938,0.000785938,0.000785938
77,1646.44,0.97901,0.64906,1.00433,0.7772,0.70905,0.77477,0.53988,1.08341,0.87372,1.12309,0.00077975,0.00077975,0.00077975
78,1671.53,0.96964,0.63431,1.00384,0.81523,0.64488,0.77837,0.58695,1.14218,0.8977,1.18599,0.000773563,0.000773563,0.000773563
79,1697.2,0.96432,0.62634,1.00498,0.67807,0.66751,0.69344,0.53818,1.11601,0.86265,1.16812,0.000767375,0.000767375,0.000767375
80,1713.61,0.95595,0.62458,1.00715,0.82596,0.6765,0.76921,0.51502,1.15247,0.98796,1.17719,0.000761188,0.000761188,0.000761188
81,1729.98,0.96749,0.64213,1.00684,0.88992,0.60162,0.75945,0.54518,1.14377,0.91327,1.172,0.000755,0.000755,0.000755
82,1746.75,0.97214,0.63313,0.9953,0.73044,0.67765,0.76086,0.56115,1.1349,0.86951,1.17243,0.000748813,0.000748813,0.000748813
83,1763.85,0.95554,0.62824,1.00291,0.67538,0.71907,0.75696,0.5755,1.16453,0.90943,1.19163,0.000742625,0.000742625,0.000742625
84,1781.02,0.96447,0.62164,1.00322,0.72249,0.68963,0.78544,0.59135,1.10084,0.85065,1.14366,0.000736438,0.000736438,0.000736438
85,1797.59,0.94887,0.60609,0.99514,0.69595,0.75927,0.78582,0.5676,1.11682,0.87292,1.17824,0.00073025,0.00073025,0.00073025
86,1818.05,0.94438,0.61372,0.99261,0.7741,0.73007,0.79029,0.56573,1.14485,0.9055,1.18625,0.000724062,0.000724062,0.000724062
87,1848.76,0.94621,0.60459,1.00103,0.61281,0.74984,0.77125,0.5241,1.13767,0.90237,1.1957,0.000717875,0.000717875,0.000717875
88,1869.38,0.95872,0.61797,1.00248,0.81672,0.65346,0.76406,0.58962,1.1227,0.88591,1.1754,0.000711687,0.000711687,0.000711687
89,1886.02,0.98014,0.62928,1.00751,0.76976,0.6612,0.76096,0.57774,1.14793,0.8551,1.18023,0.0007055,0.0007055,0.0007055
90,1902.87,0.93605,0.59857,0.98952,0.7288,0.74162,0.76074,0.57947,1.13784,0.90465,1.18121,0.000699312,0.000699312,0.000699312
91,1919.5,0.95389,0.59105,0.9878,0.74855,0.71306,0.75898,0.58146,1.14015,0.91399,1.17833,0.000693125,0.000693125,0.000693125
92,1934.43,0.92729,0.59287,0.98367,0.70014,0.73735,0.77595,0.56289,1.1242,0.87527,1.15481,0.000686937,0.000686937,0.000686937
93,1950.95,0.92969,0.59415,0.98138,0.72889,0.71968,0.77366,0.5527,1.10239,0.83206,1.15645,0.00068075,0.00068075,0.00068075
94,1967.81,0.91368,0.57518,0.98226,0.81904,0.65932,0.76549,0.55456,1.14302,0.90441,1.18213,0.000674562,0.000674562,0.000674562
95,1984.91,0.91773,0.57587,0.979,0.72062,0.72058,0.77067,0.5664,1.11858,0.83394,1.17227,0.000668375,0.000668375,0.000668375
96,2002.95,0.95754,0.59749,0.9904,0.7182,0.73835,0.79149,0.57311,1.11787,0.83565,1.16441,0.000662188,0.000662188,0.000662188
97,2019.43,0.91997,0.58063,0.98209,0.76359,0.64893,0.70433,0.5047,1.11648,0.84716,1.168,0.000656,0.000656,0.000656
98,2036.22,0.93209,0.58292,0.99292,0.93753,0.61917,0.75894,0.57321,1.17528,0.91207,1.21901,0.000649813,0.000649813,0.000649813
99,2054.19,0.92042,0.57045,0.98036,0.64649,0.74124,0.74163,0.56292,1.13503,0.88187,1.18455,0.000643625,0.000643625,0.000643625
100,2071.41,0.92052,0.5765,0.9972,0.725,0.6927,0.73875,0.56666,1.13883,0.85756,1.17542,0.000637437,0.000637437,0.000637437
